# ----------------------------------------
# gerardnico.com
# Location
# 20200505-20200526
# ----------------------------------------

Country,Users,New Users,Sessions,Bounce Rate,Pages/Session,Avg. Session Duration,Nicolas GERARD Information (Goal 1 Conversion Rate),Nicolas GERARD Information (Goal 1 Completions),Nicolas GERARD Information (Goal 1 Value)
United States,"24,645","21,606","28,994",9.42%,2.57,00:01:01,0.00%,0,US$0.00
India,"18,447","15,421","23,363",5.79%,2.63,00:01:14,0.00%,0,US$0.00
United Kingdom,"4,329","3,688","5,108",6.03%,2.63,00:00:58,0.00%,0,US$0.00
Germany,"3,821","3,423","4,325",4.99%,2.62,00:00:56,0.00%,0,US$0.00
France,"2,733","2,395","3,183",5.44%,2.72,00:01:10,0.00%,0,US$0.00
Canada,"2,478","2,140","2,929",4.95%,2.59,00:00:57,0.00%,0,US$0.00
Italy,"2,187","1,838","2,683",6.93%,2.79,00:01:18,0.00%,0,US$0.00
Brazil,"2,176","1,969","2,585",5.15%,2.54,00:00:59,0.00%,0,US$0.00
Russia,"1,977","1,780","2,424",4.62%,2.65,00:01:04,0.00%,0,US$0.00
Spain,"1,913","1,663","2,318",5.00%,2.73,00:01:07,0.00%,0,US$0.00
,"100,150","87,076","120,347",6.51%,2.65,00:01:08,0.00%,0,US$0.00
