# ----------------------------------------
# gerardnico.com
# Content Drilldown
# 20200505-20200526
# ----------------------------------------

Page path level 1,Page Views,Unique Page Views,Avg. Time on Page,Bounce Rate,% Exit
/db/,"72,399","38,533",00:00:34,4.77%,39.11%
/dat/,"44,588","23,996",00:01:10,5.12%,32.93%
/lang/,"33,042","17,721",00:00:31,4.29%,39.30%
/ssh/,"17,182","8,888",00:00:39,2.92%,39.54%
/data_mining/,"16,466","9,013",00:00:35,4.00%,39.07%
/dit/,"16,254","8,397",00:00:42,3.23%,33.16%
/os/,"13,632","7,136",00:00:28,3.55%,41.88%
/ide/,"12,510","6,441",00:00:35,3.29%,42.04%
/data/,"12,192","6,766",00:00:31,4.95%,33.02%
/viz/,"7,602","4,068",00:00:31,4.32%,40.07%
,"319,164","173,734",00:00:41,6.51%,37.67%

Day Index,Page Views
05/05/2020,"19,360"
06/05/2020,"18,380"
07/05/2020,"17,740"
08/05/2020,"15,691"
09/05/2020,"7,808"
10/05/2020,"7,408"
11/05/2020,"17,489"
12/05/2020,"18,594"
13/05/2020,"18,786"
14/05/2020,"19,345"
15/05/2020,"16,817"
16/05/2020,"7,412"
17/05/2020,"7,129"
18/05/2020,"16,773"
19/05/2020,"18,253"
20/05/2020,"18,258"
21/05/2020,"15,722"
22/05/2020,"15,074"
23/05/2020,"6,434"
24/05/2020,"6,424"
25/05/2020,"12,801"
26/05/2020,"17,466"
,"319,164"
